date,truth,lstm_pred
2017-05-04,310316.0,308141.2724609375
2017-05-05,311426.0,305215.7958984375
2017-05-06,285119.0,290779.9765625
2017-05-07,277479.0,277904.77978515625
2017-05-08,319093.0,318359.73046875
2017-05-09,321703.0,326055.25537109375
2017-05-10,321062.0,321026.142578125
2017-05-11,321147.0,321388.0104675293
2017-05-12,307128.0,311903.7900390625
2017-05-13,281278.0,285503.05078125
2017-05-14,275728.0,277537.1672363281
2017-05-15,320359.0,315650.9140625
2017-05-16,343501.0,326977.388671875
2017-05-17,366210.0,345770.04638671875
2017-05-18,373616.0,363926.8193359375
2017-05-19,349806.0,343028.830078125
2017-05-20,310297.0,309295.82421875
2017-05-21,290532.0,297735.1806640625
2017-05-22,317686.0,317158.525390625
2017-05-23,318452.0,323675.552734375
2017-05-24,316618.0,320259.07751464844
2017-05-25,315618.0,317450.3059082031
2017-05-26,313804.0,307264.392578125
2017-05-27,296762.0,287227.771484375
2017-05-28,289032.0,289826.8037109375
2017-05-29,298335.0,311408.171875
2017-05-30,336130.0,343479.7109375
2017-05-31,332559.0,344502.46484375
2017-06-01,333187.0,327691.0322265625
2017-06-02,334701.0,330660.0959472656
2017-06-03,316653.0,319610.5078125
2017-06-04,322109.0,318336.4895019531
2017-06-05,350677.0,364271.859375
2017-06-06,329621.0,357210.5888671875
2017-06-07,313472.0,330116.27435302734
2017-06-08,323411.0,320426.77734375
2017-06-09,331719.0,324525.47888183594
2017-06-10,331600.0,312362.123046875
2017-06-11,346270.0,326982.2158203125
2017-06-12,404897.0,384022.7578125
2017-06-13,403566.0,411747.54052734375
2017-06-14,393390.0,396779.9716796875
2017-06-15,396435.0,395682.9189453125
2017-06-16,392548.0,380553.5087890625
2017-06-17,374074.0,367662.501953125
2017-06-18,363425.0,363804.7021484375
2017-06-19,365554.0,369298.2509765625
2017-06-20,353230.0,354223.578125
2017-06-21,369285.0,349515.44873046875
2017-06-22,392204.0,373883.64404296875
2017-06-23,373786.0,372576.064453125
2017-06-24,331467.0,329439.6875
2017-06-25,301469.0,321222.1767578125
2017-06-26,324014.0,332173.576171875
2017-06-27,326931.0,337063.849609375
2017-06-28,334595.0,333293.7197265625
2017-06-29,376990.0,344886.0654296875
2017-06-30,388870.0,374211.5412597656
2017-07-01,354699.0,348407.73828125
2017-07-02,346142.0,330157.123046875
2017-07-03,360846.0,366785.166015625
2017-07-04,342395.0,368684.2705078125
2017-07-05,375381.0,373195.58203125
2017-07-06,377448.0,390143.1015625
2017-07-07,369223.0,366760.6201171875
2017-07-08,330853.0,343500.18359375
2017-07-09,322366.0,324138.98779296875
2017-07-10,366140.0,370376.1015625
2017-07-11,390406.0,387885.701171875
2017-07-12,409691.0,391666.232421875
2017-07-13,408683.0,410713.8101196289
2017-07-14,402333.0,392421.486328125
2017-07-15,355794.0,371174.119140625
2017-07-16,348308.0,351142.322265625
2017-07-17,396291.0,398256.6015625
2017-07-18,415077.0,409572.5234375
2017-07-19,427281.0,420651.47314453125
2017-07-20,430463.0,431106.3981933594
2017-07-21,423681.0,417683.728515625
2017-07-22,392836.0,390517.640625
2017-07-23,369685.0,374645.953125
2017-07-24,392240.0,391051.962890625
2017-07-25,372036.0,388973.9133300781
2017-07-26,378975.0,377142.26708984375
2017-07-27,383108.0,391405.6123046875
2017-07-28,374735.0,380967.4333496094
2017-07-29,322949.0,339466.60546875
2017-07-30,327174.0,311764.9111328125
2017-07-31,382389.0,374307.28125
2017-08-01,387813.0,404609.06640625
2017-08-02,389795.0,392951.703125
2017-08-03,392999.0,392726.66650390625
2017-08-04,364607.0,383224.162109375
2017-08-05,309570.0,322533.34765625
2017-08-06,297737.0,300170.158203125
2017-08-07,340310.0,345951.90234375
2017-08-08,354050.0,350577.0283203125
2017-08-09,358806.0,358376.19921875
2017-08-10,359963.0,366429.75830078125
2017-08-11,368152.0,358635.5148925781
2017-08-12,338436.0,346898.8828125
2017-08-13,326801.0,324400.6953125
2017-08-14,370415.0,366251.15625
2017-08-15,397129.0,381567.5888671875
2017-08-16,407378.0,399347.3635253906
2017-08-17,417209.0,408650.5954589844
2017-08-18,404572.0,391361.86328125
2017-08-19,359065.0,354256.71484375
2017-08-20,359564.0,341594.294921875
2017-08-21,415084.0,391917.591796875
2017-08-22,407347.0,422840.43701171875
2017-08-23,370258.0,389843.423828125
2017-08-24,343708.0,366850.46484375
2017-08-25,331714.0,338471.8359375
2017-08-26,307187.0,311426.14453125
2017-08-27,306649.0,306289.32946777344
2017-08-28,343347.0,355063.015625
2017-08-29,351154.0,350581.7060546875
2017-08-30,356557.0,355959.822265625
2017-08-31,352758.0,364999.7822265625
2017-09-01,316908.0,348281.58447265625
2017-09-02,277547.0,289509.7265625
2017-09-03,281766.0,275332.9404296875
2017-09-04,308542.0,321221.0859375
2017-09-05,338661.0,346499.23828125
2017-09-06,314563.0,341195.3591308594
2017-09-07,313770.0,312641.1915283203
2017-09-08,311672.0,310629.205078125
2017-09-09,285702.0,285234.66796875
2017-09-10,275496.0,278074.7041015625
2017-09-11,312959.0,314349.4296875
2017-09-12,322822.0,319228.98486328125
2017-09-13,329364.0,323563.0938720703
2017-09-14,329840.0,329358.59130239487
2017-09-15,333548.0,318312.48828125
2017-09-16,318927.0,308955.22265625
2017-09-17,317927.0,311294.93701171875
2017-09-18,357343.0,348918.59765625
2017-09-19,356169.0,360703.35400390625
2017-09-20,371577.0,350405.01025390625
2017-09-21,388488.0,369709.2492675781
2017-09-22,387270.0,373202.59375
2017-09-23,357117.0,352400.17578125
2017-09-24,343973.0,341856.5517578125
2017-09-25,384273.0,359971.3408203125
2017-09-26,389731.0,384374.7745285034
2017-09-27,381639.0,384355.494140625
2017-09-28,341527.0,367617.947265625
2017-09-29,316200.0,314260.19140625
2017-09-30,279956.0,287861.87109375
2017-10-01,273102.0,277303.5900878906
2017-10-02,316188.0,314984.390625
2017-10-03,331339.0,325649.3271484375
2017-10-04,341210.0,335216.4138183594
2017-10-05,335703.0,346462.76904296875
2017-10-06,328544.0,327384.9990234375
2017-10-07,315878.0,307932.625
2017-10-08,301889.0,304888.6923828125
2017-10-09,351840.0,331180.466796875
2017-10-10,351766.0,371832.791015625
2017-10-11,344606.0,348288.8381347656
2017-10-12,321690.0,342108.44140625
2017-10-13,317871.0,310978.142578125
2017-10-14,299371.0,299957.259765625
2017-10-15,294509.0,294178.1494140625
2017-10-16,312040.0,332601.26171875
2017-10-17,322774.0,316032.3654785156
2017-10-18,325216.0,325109.60302734375
2017-10-19,319459.0,324921.09881591797
2017-10-20,315150.0,309109.244140625
2017-10-21,287408.0,291065.86328125
2017-10-22,280393.0,279211.4443359375
2017-10-23,313133.0,316475.67578125
2017-10-24,313445.0,321952.607421875
2017-10-25,324324.0,316646.86865234375
2017-10-26,331667.0,327466.439453125
2017-10-27,323498.0,325273.07763671875
2017-10-28,305372.0,298799.91015625
2017-10-29,315250.0,301174.51708984375
2017-10-30,358027.0,352302.74609375
2017-10-31,348892.0,360352.5546875
2017-11-01,348190.0,344895.0480957031
2017-11-02,326441.0,350869.498046875
2017-11-03,315836.0,322595.98779296875
2017-11-04,296228.0,303605.2138671875
2017-11-05,296819.0,291953.15478515625
2017-11-06,317579.0,340573.265625
2017-11-07,337042.0,331965.8359375
2017-11-08,350466.0,344514.43798828125
2017-11-09,352122.0,352824.4873046875
2017-11-10,367495.0,347252.55810546875
2017-11-11,363571.0,361451.01611328125
2017-11-12,336239.0,352905.0654296875
2017-11-13,360492.0,357846.259765625
2017-11-14,362449.0,360768.96423339844
2017-11-15,371627.0,357437.7099609375
2017-11-16,358535.0,369059.9255371094
2017-11-17,356502.0,348343.1298828125
2017-11-18,324239.0,335774.41015625
2017-11-19,331229.0,320895.5344238281
2017-11-20,376104.0,374637.80859375
2017-11-21,366962.0,375858.40562438965
2017-11-22,356644.0,359324.77197265625
2017-11-23,337925.0,354968.8038330078
2017-11-24,326851.0,339359.51135253906
2017-11-25,310404.0,313702.046875
2017-11-26,327851.0,312414.30529785156
2017-11-27,367684.0,371153.6171875
2017-11-28,358689.0,364155.90576171875
2017-11-29,350667.0,352463.96826171875
2017-11-30,352533.0,348457.1809082031
2017-12-01,350211.0,345264.45751953125
2017-12-02,339917.0,332070.548828125
2017-12-03,327569.0,332128.07763671875
2017-12-04,363368.0,354083.876953125
2017-12-05,352854.0,372067.388671875
2017-12-06,383091.0,363579.1103515625
2017-12-07,399318.0,404823.998046875
2017-12-08,413441.0,394520.888671875
2017-12-09,394494.0,391236.958984375
2017-12-10,380702.0,377442.2890625
2017-12-11,398443.0,410364.619140625
2017-12-12,415576.0,394659.1491699219
2017-12-13,436002.0,425701.0703125
2017-12-14,411556.0,431314.5478515625
2017-12-15,424291.0,394179.111328125
2017-12-16,375683.0,403694.984375
2017-12-17,366546.0,349807.04296875
2017-12-18,373903.0,390471.3671875
2017-12-19,358916.0,371590.58544921875
2017-12-20,362297.0,359089.9188232422
2017-12-21,380985.0,364056.49353027344
2017-12-22,350410.0,372829.49609375
2017-12-23,326509.0,325786.197265625
2017-12-24,330255.0,326935.14096069336
2017-12-25,362107.0,367841.5078125
2017-12-26,400713.0,409196.18359375
2017-12-27,439663.0,400119.6979370117
2017-12-28,465511.0,429222.900390625
2017-12-29,434221.0,432921.248046875
2017-12-30,414764.0,392266.16015625
2017-12-31,441162.0,400204.8515625
2018-01-01,468324.0,452370.689453125
2018-01-02,502524.0,493017.849609375
2018-01-03,496690.0,489374.5341796875
2018-01-04,491361.0,470084.4296875
2018-01-05,508004.0,480913.6123046875
2018-01-06,500348.0,474898.72265625
2018-01-07,475281.0,467305.75390625
2018-01-08,437769.0,455525.25
2018-01-09,400218.0,422626.7412109375
2018-01-10,384672.0,406412.91748046875
2018-01-11,356455.0,400376.3681640625
2018-01-12,361633.0,358565.2175292969
2018-01-13,422123.0,377093.9404296875
2018-01-14,441362.0,450817.796875
2018-01-15,464372.0,446044.92138671875
2018-01-16,458549.0,445717.228515625
2018-01-17,487519.0,444937.5283203125
