date,tavg,tmax,tmin,prcp,wspd,pres,rhum,tsun
2017-06-03,20.8,28.0,12.9,0.0,10.5,990.8,60,51339.3
2017-06-04,22.1,28.2,14.8,2.1,18.3,986.4,67,50667.16
2017-06-05,21.3,26.4,16.9,1.7,17.7,981.5,77,44713.52
2017-06-06,16.5,21.0,11.2,0.0,20.6,985.9,70,49730.48
2017-06-07,15.2,18.0,11.6,0.6,19.2,989.3,72,14233.67
2017-06-08,16.6,21.7,10.6,0.4,11.1,988.0,70,52510.85
2017-06-09,19.7,26.0,11.8,0.1,17.6,985.5,62,51454.48
2017-06-10,22.7,28.2,16.1,0.0,19.3,988.8,58,53237.37
2017-06-11,24.4,30.6,17.5,0.0,22.1,992.1,61,53272.71
2017-06-12,25.3,30.8,18.2,0.3,15.6,991.3,67,53304.61
2017-06-13,24.5,29.5,20.1,10.6,16.9,990.1,80,38205.69
2017-06-14,24.5,29.6,20.0,5.6,8.8,989.1,81,53332.08
2017-06-15,23.2,27.0,20.0,6.8,19.1,985.7,83,45771.2
2017-06-16,24.7,30.6,19.5,0.0,8.9,984.5,72,53310.45
2017-06-17,25.7,31.0,19.6,0.0,17.8,982.5,72,53410.03
2017-06-18,24.7,28.7,22.0,20.2,28.6,980.5,76,36797.86
2017-06-19,21.9,25.5,17.6,4.9,24.4,984.1,72,50308.77
2017-06-20,20.9,25.5,16.1,0.0,21.6,988.5,63,48295.47
2017-06-21,22.4,27.4,15.6,0.2,14.5,988.3,70,52212.16
2017-06-22,24.8,29.9,20.5,1.8,22.3,988.1,74,41285.5
2017-06-23,22.4,25.5,20.6,39.4,27.3,980.8,90,2867.4
2017-06-24,20.6,24.2,15.1,0.7,21.4,986.3,69,51649.12
2017-06-25,18.3,22.6,12.4,0.1,30.0,992.0,61,53391.16
2017-06-26,17.0,21.0,12.9,0.3,21.0,992.0,64,46523.96
2017-06-27,16.9,21.4,11.3,0.0,15.0,992.1,64,52827.26
2017-06-28,18.8,25.2,10.9,0.0,15.8,992.8,67,53325.93
2017-06-29,22.7,28.9,15.9,3.0,26.5,988.7,71,50368.32
2017-06-30,24.2,28.1,21.2,8.9,19.4,987.1,82,36521.67
2017-07-01,23.7,27.6,20.0,11.1,19.4,986.7,78,53230.55
2017-07-02,23.0,28.5,17.3,0.0,18.4,991.0,71,52668.15
2017-07-03,23.6,29.4,18.4,1.0,10.3,991.2,74,49233.55
2017-07-04,23.8,29.0,18.8,2.4,10.5,991.5,79,52442.92
2017-07-05,24.1,29.8,17.6,0.0,12.5,992.2,63,42295.31
2017-07-06,22.4,24.8,20.5,14.6,8.6,989.4,91,4931.61
2017-07-07,22.5,28.9,18.0,13.9,19.9,986.0,87,33560.37
2017-07-08,21.8,25.5,17.8,0.5,18.1,987.0,76,52655.91
2017-07-09,20.2,25.6,14.2,0.0,10.5,991.3,69,52837.32
2017-07-10,21.5,28.0,16.4,30.5,19.2,988.5,84,21100.65
2017-07-11,24.8,29.5,21.2,21.9,22.4,987.7,81,46030.81
2017-07-12,26.1,30.9,21.0,0.6,20.6,990.4,76,46416.7
2017-07-13,25.2,29.3,23.1,30.4,20.5,990.6,88,9601.27
2017-07-14,24.9,28.9,21.8,14.2,18.4,990.4,79,44795.3
2017-07-15,22.5,26.2,19.5,0.1,12.3,991.5,71,50060.4
2017-07-16,22.6,28.1,16.6,0.0,12.8,989.2,76,41534.92
2017-07-17,23.2,27.8,17.5,0.7,13.7,989.5,81,49388.82
2017-07-18,24.4,29.9,18.5,0.5,9.3,991.5,78,50084.05
2017-07-19,25.8,30.8,20.9,0.2,9.8,992.0,76,50448.02
2017-07-20,25.2,30.0,20.7,4.3,16.3,990.7,84,31336.6
2017-07-21,25.7,29.7,22.7,6.0,10.9,988.7,84,24588.77
2017-07-22,24.7,28.0,21.9,19.8,15.5,985.2,89,20238.24
2017-07-23,23.8,27.8,21.1,11.3,17.6,982.8,88,18000.0
2017-07-24,22.5,26.0,18.9,0.3,21.1,986.1,79,49320.04
2017-07-25,20.0,26.0,13.8,0.0,8.7,994.6,75,48057.0
2017-07-26,21.0,26.8,14.9,0.0,9.4,993.5,76,47210.51
2017-07-27,22.3,27.1,18.5,5.8,10.8,987.1,85,20573.4
2017-07-28,22.5,26.0,19.9,0.4,24.2,984.1,80,35028.07
2017-07-29,20.6,26.1,15.7,0.0,21.8,988.1,60,49210.19
2017-07-30,21.9,28.5,15.4,0.0,15.2,993.3,67,45542.7
2017-07-31,22.5,28.3,15.6,0.0,10.7,994.4,68,47490.1
2017-08-01,23.0,27.3,16.9,0.0,7.0,992.7,70,46874.54
2017-08-02,22.4,26.9,18.5,7.6,14.6,991.4,81,34554.14
2017-08-03,22.4,27.4,18.7,6.9,17.6,990.6,85,46537.18
2017-08-04,21.2,24.0,17.1,6.6,25.6,986.4,81,30259.05
2017-08-05,18.6,23.1,13.1,1.0,18.4,991.0,69,46800.0
2017-08-06,18.8,22.5,15.5,0.4,11.2,991.9,81,476.75
2017-08-07,19.2,23.8,16.9,8.9,9.2,988.8,82,12601.21
2017-08-08,20.4,24.8,15.2,0.0,12.3,992.9,67,47414.18
2017-08-09,20.3,26.4,14.5,0.0,10.8,995.5,67,47131.71
2017-08-10,20.8,26.8,15.3,0.3,14.7,993.1,76,45872.58
2017-08-11,22.0,27.4,17.5,0.5,13.4,990.0,82,33555.3
2017-08-12,21.2,26.0,17.2,2.8,18.7,988.2,76,46923.78
2017-08-13,20.7,26.8,14.8,0.0,7.8,990.2,73,46800.0
2017-08-14,22.1,27.5,16.3,0.0,8.4,987.1,72,35354.52
2017-08-15,23.9,28.9,18.5,0.2,9.9,986.2,76,46800.0
2017-08-16,24.1,29.1,18.5,0.7,10.2,989.6,79,46800.0
2017-08-17,24.3,28.8,21.8,8.4,25.1,986.5,88,14697.64
2017-08-18,24.8,28.5,22.0,1.0,23.0,984.6,74,40760.64
2017-08-19,22.3,27.3,18.5,6.9,18.5,987.3,78,42228.38
2017-08-20,23.1,29.2,16.8,0.5,9.8,991.8,78,46800.0
2017-08-21,25.6,32.3,20.1,0.0,18.1,992.9,73,40106.41
2017-08-22,24.9,28.3,22.0,1.2,23.4,987.5,73,29629.33
2017-08-23,20.5,25.0,14.3,0.0,18.8,988.2,60,38400.48
2017-08-24,18.7,23.0,13.6,0.1,17.7,990.4,63,46800.0
2017-08-25,18.2,23.0,13.7,0.0,15.1,995.5,63,46292.41
2017-08-26,18.0,24.4,11.5,0.0,12.2,997.5,59,46800.0
2017-08-27,19.5,26.4,12.4,0.0,9.2,993.8,61,46219.06
2017-08-28,20.0,24.1,17.6,3.4,20.4,991.2,81,10037.43
2017-08-29,19.8,23.6,16.9,2.1,10.9,990.3,84,31637.03
2017-08-30,20.3,25.9,15.6,0.1,11.0,990.0,80,34293.43
2017-08-31,20.3,25.6,15.6,0.1,19.9,991.1,75,41520.15
2017-09-01,15.9,17.9,14.2,1.8,22.3,991.2,61,0.0
2017-09-02,14.5,16.5,12.6,13.1,20.6,988.3,89,0.0
2017-09-03,18.9,25.2,14.0,0.0,19.2,989.2,74,44317.65
